date,milk
1/2/2021,20
1/2/2021,30
1/3/2021,4
1/4/2021,10
1/4/2021,10
1/4/2021,10
1/4/2021,10
1/4/2021,20
1/4/2021,10
1/4/2021,10
1/4/2021,10
1/4/2021,10
1/4/2021,10
1/5/2021,50
1/5/2021,50
1/5/2021,10
1/5/2021,10
1/5/2021,50
1/6/2021,10
1/6/2021,20
1/6/2021,100
1/6/2021,2
1/6/2021,10
1/6/2021,10
1/7/2021,60
1/7/2021,10
1/7/2021,10
1/7/2021,10
1/7/2021,10
1/7/2021,10
1/7/2021,10
1/7/2021,10
1/7/2021,40
1/7/2021,90
1/7/2021,100
1/7/2021,10
1/7/2021,10
1/7/2021,10
1/7/2021,10
1/7/2021,1
1/7/2021,10
1/7/2021,10
1/7/2021,10
1/7/2021,10
1/7/2021,20
1/7/2021,10
1/7/2021,10
1/8/2021,70
1/8/2021,50
1/8/2021,10
1/8/2021,10
1/8/2021,20
1/8/2021,10
1/8/2021,20
1/8/2021,10
1/8/2021,10
1/9/2021,40
1/9/2021,20
1/9/2021,20
1/9/2021,70
1/9/2021,10
1/9/2021,30
1/9/2021,30
1/9/2021,10
1/10/2021,2
1/11/2021,10
1/11/2021,10
1/11/2021,10
1/11/2021,20
1/11/2021,100
1/11/2021,10
1/12/2021,10
1/12/2021,10
1/12/2021,20
1/12/2021,30
1/12/2021,10
1/13/2021,40
1/13/2021,40
1/13/2021,10
1/14/2021,0
1/14/2021,30
1/14/2021,30
1/14/2021,40
1/15/2021,10
1/15/2021,40
1/15/2021,10
1/15/2021,10
1/15/2021,10
1/15/2021,10
1/15/2021,40
1/15/2021,30
1/15/2021,10
1/15/2021,10
1/15/2021,10
1/15/2021,10
1/16/2021,10
1/16/2021,10
1/16/2021,30
1/16/2021,1
1/18/2021,20
1/18/2021,30
1/18/2021,10
1/18/2021,10
1/19/2021,10
1/20/2021,10
1/20/2021,10
1/20/2021,10
1/20/2021,1
1/20/2021,10
1/21/2021,10
1/21/2021,20
1/22/2021,40
1/22/2021,20
1/22/2021,10
1/22/2021,10
1/22/2021,10
1/22/2021,20
1/22/2021,20
1/22/2021,20
1/23/2021,10
1/23/2021,70
1/23/2021,10
1/23/2021,50
1/23/2021,20
1/23/2021,10
1/26/2021,60
1/26/2021,20
1/26/2021,30
1/27/2021,10
1/27/2021,30
1/27/2021,10
1/27/2021,40
1/27/2021,10
1/27/2021,50
1/27/2021,10
1/27/2021,20
1/27/2021,50
1/27/2021,30
1/28/2021,10
1/28/2021,10
1/28/2021,20
1/28/2021,30
1/28/2021,10
1/28/2021,10
1/28/2021,50
1/28/2021,50
1/29/2021,10
1/29/2021,50
1/29/2021,20
1/29/2021,10
1/29/2021,50
1/29/2021,20
1/29/2021,10
1/30/2021,10
1/30/2021,50
1/30/2021,30
1/30/2021,30
1/30/2021,20
2/1/2021,100
2/1/2021,301
2/2/2021,80
2/2/2021,30
2/3/2021,10
2/3/2021,10
2/3/2021,20
2/4/2021,20
2/4/2021,30
2/4/2021,80
2/4/2021,60
2/5/2021,10
2/5/2021,50
2/5/2021,10
2/5/2021,20
2/5/2021,10
2/5/2021,10
2/6/2021,30
2/6/2021,30
2/6/2021,50
2/6/2021,10
2/6/2021,40
2/6/2021,50
2/6/2021,30
2/8/2021,20
2/8/2021,10
2/9/2021,20
2/9/2021,10
2/9/2021,10
2/9/2021,10
2/9/2021,10
2/9/2021,80
2/9/2021,10
2/9/2021,10
2/9/2021,10
2/9/2021,10
2/9/2021,10
2/9/2021,10
2/9/2021,10
2/9/2021,50
2/9/2021,10
2/9/2021,10
2/9/2021,10
2/9/2021,10
2/9/2021,10
2/9/2021,10
2/9/2021,10
2/9/2021,10
2/9/2021,10
2/9/2021,20
2/10/2021,10
2/10/2021,20
2/10/2021,30
2/11/2021,50
2/11/2021,110
2/11/2021,30
2/11/2021,70
2/11/2021,110
2/11/2021,0
2/11/2021,30
2/12/2021,120
2/12/2021,20
2/12/2021,480
2/12/2021,60
2/12/2021,510
2/12/2021,100
2/12/2021,10
2/12/2021,10
2/12/2021,1
2/13/2021,10
2/13/2021,80
2/13/2021,90
2/13/2021,160
2/13/2021,80
2/13/2021,10
2/13/2021,10
2/13/2021,10
2/13/2021,30
2/15/2021,10
2/15/2021,130
2/15/2021,120
2/15/2021,10
2/15/2021,50
2/15/2021,10
2/15/2021,0
2/15/2021,0
2/15/2021,0
2/15/2021,10
2/16/2021,150
2/16/2021,10
2/16/2021,30
2/16/2021,110
2/16/2021,30
2/16/2021,0
2/16/2021,10
2/17/2021,60
2/17/2021,10
2/17/2021,10
2/17/2021,30
2/17/2021,20
2/17/2021,20
2/17/2021,10
2/18/2021,20
2/18/2021,90
2/18/2021,60
2/18/2021,30
2/18/2021,60
2/18/2021,20
2/18/2021,20
2/18/2021,50
2/18/2021,10
2/19/2021,20
2/19/2021,90
2/19/2021,0
2/19/2021,70
2/19/2021,10
2/20/2021,40
2/20/2021,150
2/20/2021,20
2/20/2021,100
2/20/2021,10
2/20/2021,30
2/20/2021,70
2/22/2021,100
2/22/2021,10
2/22/2021,70
2/22/2021,90
2/22/2021,10
2/22/2021,10
2/23/2021,160
2/23/2021,10
2/23/2021,20
2/23/2021,10
2/23/2021,50
2/23/2021,60
2/24/2021,10
2/24/2021,10
2/24/2021,10
2/24/2021,20
2/24/2021,10
2/25/2021,10
2/25/2021,20
2/25/2021,40
2/25/2021,10
2/25/2021,10
2/25/2021,20
2/26/2021,80
2/26/2021,10
2/26/2021,10
2/26/2021,10
2/26/2021,10
2/27/2021,40
2/27/2021,90
2/27/2021,10
2/27/2021,30
2/27/2021,30
2/27/2021,10
2/27/2021,80
2/27/2021,10
2/27/2021,100
2/27/2021,10
3/1/2021,10
3/1/2021,10
3/1/2021,10
3/1/2021,20
3/1/2021,20
3/2/2021,50
3/2/2021,110
3/2/2021,10
3/2/2021,10
3/3/2021,120
3/3/2021,10
3/3/2021,10
3/3/2021,10
3/3/2021,10
3/4/2021,10
3/4/2021,40
3/4/2021,40
3/4/2021,40
3/4/2021,10
3/5/2021,50
3/5/2021,10
3/5/2021,20
3/5/2021,10
3/5/2021,10
3/5/2021,10
3/5/2021,10
3/6/2021,10
3/6/2021,10
3/6/2021,30
3/6/2021,10
3/6/2021,10
3/6/2021,30
3/6/2021,40
3/6/2021,10
3/6/2021,10
3/8/2021,10
3/8/2021,10
3/8/2021,10
3/8/2021,10
3/8/2021,10
3/8/2021,10
3/9/2021,10
3/9/2021,10
3/9/2021,20
3/9/2021,20
3/10/2021,30
3/10/2021,10
3/10/2021,10
3/10/2021,10
3/10/2021,100
3/10/2021,10
3/10/2021,10
3/10/2021,10
3/10/2021,10
3/10/2021,10
3/11/2021,10
3/11/2021,60
3/11/2021,10
3/11/2021,10
3/12/2021,10
3/13/2021,40
3/22/2021,10
3/22/2021,110
3/22/2021,20
3/22/2021,180
3/22/2021,20
3/22/2021,10
3/22/2021,10
3/22/2021,10
3/23/2021,20
3/23/2021,60
3/23/2021,50
3/23/2021,10
3/23/2021,10
3/23/2021,110
3/24/2021,10
3/24/2021,50
3/24/2021,20
3/24/2021,1
3/25/2021,10
3/25/2021,50
3/25/2021,30
3/25/2021,20
3/25/2021,40
3/25/2021,100
3/26/2021,10
3/26/2021,20
3/26/2021,40
3/26/2021,10
3/26/2021,10
3/26/2021,70
3/26/2021,10
3/26/2021,10
3/26/2021,10
3/26/2021,10
3/26/2021,20
3/26/2021,10
3/26/2021,30
3/26/2021,40
3/26/2021,10
3/27/2021,10
3/27/2021,20
3/27/2021,60
3/27/2021,40
3/27/2021,10
3/29/2021,10
3/29/2021,10
3/29/2021,60
3/29/2021,10
3/30/2021,10
3/30/2021,10
3/30/2021,10
3/30/2021,40
3/30/2021,10
3/31/2021,40
3/31/2021,20
3/31/2021,10
3/31/2021,40
3/31/2021,10
3/31/2021,10
3/31/2021,20
3/31/2021,20
3/31/2021,10
3/31/2021,40
3/31/2021,40
3/31/2021,30
3/31/2021,10
4/1/2021,10
4/1/2021,10
4/1/2021,20
4/2/2021,10
4/2/2021,40
4/2/2021,50
4/2/2021,10
4/2/2021,10
4/2/2021,10
4/2/2021,20
4/3/2021,20
4/3/2021,20
4/3/2021,20
4/3/2021,170
4/3/2021,70
4/3/2021,10
4/5/2021,10
4/6/2021,40
4/6/2021,20
4/7/2021,10
4/7/2021,10
4/7/2021,10
4/7/2021,30
4/7/2021,10
4/7/2021,10
4/7/2021,20
4/8/2021,10
4/8/2021,10
4/8/2021,30
4/8/2021,30
4/8/2021,10
4/8/2021,100
4/9/2021,20
4/9/2021,10
4/9/2021,10
4/9/2021,40
4/9/2021,10
4/9/2021,10
4/9/2021,10
4/10/2021,20
4/10/2021,40
